[Feb 08 16:31:47] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:31:47] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:31:47] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:31:47] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:32:54] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:32:54] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:32:54] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:32:54] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:32:54] | [DEBUG ]   : TRIAL of debugging lets see what hap !! 
[Feb 08 16:32:54] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:32:54] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:34:40] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:34:40] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:34:40] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:34:40] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:34:40] | [DEBUG ]   : TRIAL of debugging lets see what hap !! 
[Feb 08 16:34:40] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:34:40] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:34:53] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:34:53] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:34:53] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:34:53] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:34:53] | [DEBUG ]   : TRIAL of debugging lets see what hap !! 
[Feb 08 16:34:53] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:34:53] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:35:04] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:35:04] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:35:04] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:35:04] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:35:04] | [DEBUG ]   : TRIAL of debugging lets see what hap !! 
[Feb 08 16:35:04] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:35:04] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:36:53] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:36:53] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:36:53] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:36:53] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:36:53] | [DEBUG ]   : TRIAL of debugging lets see what hap !! 
[Feb 08 16:36:53] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:36:53] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:37:40] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:37:40] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:37:40] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:37:40] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:37:40] | [DEBUG ]   : TRIAL of debugging lets see what hap !! 
[Feb 08 16:37:40] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:37:40] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:37:59] | [FATAL ]   : FATAL TRIAL !! 
[Feb 08 16:37:59] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:37:59] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:37:59] | [INFO  ]   : TRIAL of informations lets see what hap !! 
[Feb 08 16:37:59] | [DEBUG ]   : TRIAL of debugging lets see what hap !! 
[Feb 08 16:37:59] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:37:59] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:38:33] | [NOTICE]   : TRIAL of notoices lets see what happens !! 
[Feb 08 16:38:33] | [WARNN ]   : TRIAL of warnings lets see whta happens !! 
[Feb 08 16:38:33] | [ERROR ]   : TRIAL of error lets see what hap !! 
[Feb 08 16:38:33] | [TRACE ]   : TRIAL of tracing lets see what hap !! 
[Feb 08 16:44:05] | [FATAL ]   : Trial for Fatal error via macros !! 
[Feb 08 16:46:04] | [FATAL ]   : Trial for Fatal error via macros !! 
[Feb 08 16:46:04] | [NOTICE]   : TRIAL of notices lets see what happens !! 
[Feb 08 16:46:04] | [WARNN ]   : TRIAL of warnings lets see what happens !! 
[Feb 08 16:46:04] | [INFO  ]   : TRIAL of information lets see what happens !! 
[Feb 08 16:46:04] | [DEBUG ]   : TRIAL of debugging lets see what happens !! 
[Feb 08 16:46:04] | [ERROR ]   : TRIAL of error lets see what happens !! 
[Feb 08 16:46:04] | [TRACE ]   : TRIAL of tracing lets see what happens !! 
